Family	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;Zygomycota;Incertae sedis;Mucorales;Choanephoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Cunninghamellaceae	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	2	1	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Mucoraceae	33	0	0	0	1	0	33	1	83	0	0	916	2	0	0	0	0	39	76	0	24	187	69	157	4	0	0	0	2	0	0	2	29	50	0	53	6	0	0	0	0	1	104	0	0	0	2	0	2	0	0	0	36	0	8	1	24	0	0	12	0	0	0	0	1106	0	1	3	63	0	0	87	0	0	0	0	19	0	2	0	15	413	0	0	0	0	0	0	24	0	1	0	2	23	1	8	0	26	0	7	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Rhizopodaceae	5	0	0	0	0	2	0	65	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	1	3	168	0	0	0	81	20	0	0	0	0	8	0	129	0	0	1	2	91	0	8	8	37	0	0	99	0	0	10	0	0	0	0	0	0	0	175	259	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	224	0	9	1	10	0	14	0	6	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Saksenaeaceae	0	0	0	0	1	0	15	287	0	0	16	0	0	0	0	0	0	0	1	65	0	14	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	1	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Umbelopsidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;unidentified;?;?;?	6	0	0	0	0	96	1	1	0	0	0	0	8	4	0	0	1	4	82	0	0	1	0	0	59	0	0	0	2	4	324	1	3	0	0	0	11	0	0	0	0	5	789	2	2	0	0	0	1	0	0	0	106	0	2175	5	3	9	0	0	12	0	0	0	15	1	2	14	1	0	5	11	0	0	0	0	7	0	183	0	1	0	0	0	1	0	0	0	74	2	0	2	0	69	0	0	0	11	0	19	0
Fungi;unidentified;unidentified;?;?	35	0	0	0	0	1	187	1354	39	0	0	1	5	0	0	0	0	19	4	2	2	1	726	0	2	0	0	0	3	95	24	0	0	2	0	7	7	0	0	0	801	0	29	0	2	0	33	0	441	0	1	0	1	0	6	18	0	1	2	0	2	0	0	0	2	109	13	19	1	0	0	0	826	0	0	0	0	0	1	1	3	10	0	0	0	0	0	0	22	166	0	290	1	33	0	10	0	96	0	16	0
Fungi;unidentified;unidentified;unidentified;?	2	0	0	0	0	3	0	0	26	0	0	0	1	0	0	0	0	25	7	0	0	0	9	0	1	1	0	0	6	6	0	0	6	0	1	2	5	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	199	5	0	0	0	39	0	0	0	3274	0	0	2	0	0	0	4	11	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	16	0	5	0
Fungi;unidentified;unidentified;unidentified;unidentified	110	0	1	3	14	196	2705	215	108	655	156	150	56	6	0	0	1379	273	1484	218	603	670	2834	52	453	13	0	2	978	256	729	58	1141	71	73	254	106	14	0	0	1473	96	204	1344	741	40	312	2	600	2	10	149	501	0	396	845	853	661	441	63	112	0	0	2	273	602	6776	144	727	268	3	203	121	0	0	0	237	40	289	602	98	391	0	0	123	4	0	0	221	217	69	343	139	1323	3	208	0	499	0	98	0
Protista;?;?;?;?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protista;Cercozoa;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protista;Ciliophora;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
