pattern,replacement,reason
f__Carabidae;g__Phyla;,f__Carabidae;g__Phyla(animal);,
f__Verbenaceae;g__Phyla;,f__Verbenaceae;g__Phyla(plant);,
f__Miridae;g__Pilophorus;,f__Miridae;g__Pilophorus(animal);,
f__Cladoniaceae;g__Pilophorus;,f__Cladoniaceae;g__Pilophorus(fungus);,
f__Martyniaceae;g__Proboscidea;,f__Martyniaceae;g__Proboscidea(plant);,
c__Pteridopsida;o__Polypodiales;,c__Polypodiopsida;o__Polypodiales;,
f__Funariaceae;g__Pyramidula;,f__Funariaceae;g__Pyramidula(plant);,
f__Pyramidulidae;g__Pyramidula;,f__Pyramidulidae;g__Pyramidula(animal);,
f__Orchidaceae;g__Sarcophyton;,f__Orchidaceae;g__Sarcophyton(plant);,
f__Alcyoniidae;g__Sarcophyton;,f__Alcyoniidae;g__Sarcophyton(animal);,
f__Malvaceae;g__Sida;,f__Malvaceae;g__Sida(plant);,
f__Sididae;g__Sida;,f__Sididae;g__Sida(animal);,
f__Chytriomycetaceae;g__Siphonaria;,f__Chytriomycetaceae;g__Siphonaria(fungus);,
f__Siphonariidae;g__Siphonaria;,f__Siphonariidae;g__Siphonaria(animal);,
f__Megachilidae;g__Stelis;,f__Megachilidae;g__Stelis(animal);,
f__Orchidaceae;g__Stelis;,f__Orchidaceae;g__Stelis(plant);,
f__Rubiaceae;g__Stenostomum;,f__Rubiaceae;g__Stenostomum(plant);,
f__Stenostomidae;g__Stenostomum;,f__Stenostomidae;g__Stenostomum(animal);,
f__Brassicaceae;g__Stevenia;,f__Brassicaceae;g__Stevenia(plant);,
f__Rhinophoridae;g__Stevenia;,f__Rhinophoridae;g__Stevenia(animal);,
g__Tetradesmus;s__Chlorella_vulgaris,g__Chlorella;s__Chlorella_vulgaris,
f__Poaceae;g__Tribolium;,f__Poaceae;g__Tribolium(plant);,
f__Tenebrionidae;g__Tribolium;,f__Tenebrionidae;g__Tribolium(animal);,
f__Syrphidae;g__Tropidia;,f__Syrphidae;g__Tropidia(animal);,
f__Orchidaceae;g__Tropidia;,f__Orchidaceae;g__Tropidia(plant);,
c__Mammalia;o__Proboscidea;,c__Mammalia;o__Proboscidea(animal);,
f__Cryptococcaceae;g__Cryptococcus;,f__Tremellaceae;g__Cryptococcus;,
p__Chlorophyta;.*g__(Chlorella|Micractinium);,p__Chlorophyta;c__Trebouxiophyceae;o__Chlorellales;f__Chlorellaceae;g__$1;,
f__Tachinidae;g__Ernestia;,f__Tachinidae;g__Panzeria;,
f__Dictyonellidae;g__Acanthella;,f__Dictyonellidae;g__Acanthella(animal);,
f__Melastomataceae;g__Acanthella;,f__Melastomataceae;g__Acanthella(plant);,
f__Dolichopodidae;g__Machaerium;,f__Dolichopodidae;g__Machaerium(animal);,
f__Fabaceae;g__Machaerium;,f__Fabaceae;g__Machaerium(plant);,
f__Fritillariidae;g__Fritillaria;,f__Fritillariidae;g__Fritillaria(animal);,
f__Liliaceae;g__Fritillaria;,f__Liliaceae;g__Fritillaria(plant);,
f__Bradybaenidae;g__Chloraea;,f__Bradybaenidae;g__Chloraea(animal);,
f__Orchidaceae;g__Chloraea;,f__Orchidaceae;g__Chloraea(plant);,
f__Alcyoniidae;g__Rhytisma;,f__Alcyoniidae;g__Rhytisma(animal);,
f__Rhytismataceae;g__Rhytisma;,f__Rhytismataceae;g__Rhytisma(plant);,
f__Oleacinidae;g__Poiretia;,f__Oleacinidae;g__Poiretia(animal);,
f__Fabaceae;g__Poiretia;,f__Fabaceae;g__Poiretia(plant);,
f__Lycaenidae;g__Satyrium;,f__Lycaenidae;g__Satyrium(animal);,
f__Orchidaceae;g__Satyrium;,f__Orchidaceae;g__Satyrium(plant);,
f__Gomphidae;g__Gomphus;,f__Gomphidae;g__Gomphus(animal);,
f__Gomphaceae;g__Gomphus;,f__Gomphaceae;g__Gomphus(fungus);,
f__Hymedesmiidae;g__Hamigera;,f__Hymedesmiidae;g__Hamigera(animal);,
f__Aspergillaceae;g__Hamigera;,f__Aspergillaceae;g__Hamigera(fungus);,
o__unidentified;f__Montiniaceae;g__Montia;,o__Caryophyllales;f__Montiaceae;g__Montia;,Apparent confusion Montia/Montinia
