Genus	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E12	E2	E3	E4	E5	E6	E7	E8	E9	F1	F10	F11	F12	F2	F3	F4	F5	F6	F7	F8	F9	G1	G10	G11	G12	G2	G3	G4	G5	G6	G7	G8	G9	H1	H10	H11	H12	H2	H3	H4	H5	H6	H7	H8	H9	ITS1f	ITS4	ITS4-IT	ITS4A	gITS7
Fungi;Rozellomycota;unidentified;unidentified;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;?;?;?;?	26	0	0	0	4	7	18	2	66	5	7	5	13	3	0	0	2	2	153	352	13	23	38	4	3	0	0	1	2	1	12	10	1	4	0	49	1	0	0	0	0	4	4	33	0	0	4	0	37	0	1	2	6	0	4	163	26	23	7	10	43	0	0	0	47	8	75	21	2	39	0	212	28	0	0	0	347	26	68	467	19	14	0	0	0	0	0	0	51	6	0	85	95	302	0	17	0	13	0	4	0
Fungi;Zygomycota;Incertae sedis;?;?;?	0	0	0	0	2435	1	1043	0	69	0	62	14	5	1	0	0	63	50	8	0	35	15	11	0	0	0	0	0	4	1	1991	1	4	0	5	1	204	0	0	0	15	2	29	0	1	0	3	0	8	0	0	1	79	0	1	0	38	0	0	0	0	0	0	0	7	29	4	35	2	0	0	437	1	0	0	0	39	0	168	198	0	9	0	0	0	0	0	0	47	51	2	0	1	8	0	8	0	52	0	19	0
Fungi;Zygomycota;Incertae sedis;Basidiobolales;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Zygomycota;Incertae sedis;Mortierellales;?;?	7	0	0	0	15	9	941	1	0	0	0	0	17	0	0	0	162	0	0	1	15	0	0	0	51	0	0	2	5	32	3	0	1	0	0	0	129	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	53	0	5	517	0	0	0	0	3	0	0	0	1	0	1	10	0	0	0	0	9	0	0	0	0	0	0	1	2	0	0	0	81	0	0	0	43	24	0	1	6	0	0	2	0	33	0	3	0
Fungi;Zygomycota;Incertae sedis;Mortierellales;Mortierellaceae;?	31	0	0	0	1	11	0	818	1	10	3	0	35	0	0	0	5	55	0	131	0	2	0	0	349	0	0	0	60	20	60	325	2	0	0	1	55	0	2	0	6	1	1	403	2	0	0	0	23	50	3	37	2	0	1	3	1	1	45	0	36	0	0	0	33	33	874	12	0	0	0	1	34	0	0	0	1	84	2	40	303	92	0	0	1787	0	0	0	17	239	1	96	0	0	0	12	0	30	0	12	0
Fungi;Zygomycota;Incertae sedis;Mortierellales;Mortierellaceae;Mortierella	0	0	5	0	4	2	86	2	16	2	0	0	1	0	0	0	8	17	5	0	0	0	625	22	1	0	0	1	7	21	10	131	85	0	9	679	8	0	0	0	2	2	124	0	0	0	112	0	35	0	21	0	12	0	825	348	30	20	0	0	5	0	0	0	37	7	5	7	2	51	0	39	4	0	1	0	5	0	1	20	0	600	2	0	2	0	0	0	12	0	7	1	48	8	0	8	0	25	0	5	0
Fungi;Zygomycota;Incertae sedis;Mortierellales;unidentified;?	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Choanephoraceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Cunninghamellaceae;Cunninghamella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Cunninghamellaceae;Gongronella	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Mucoraceae;Mucor	33	0	0	0	1	0	33	1	83	0	0	916	2	0	0	0	0	39	76	0	24	187	69	157	4	0	0	0	2	0	0	2	29	50	0	53	6	0	0	0	0	1	104	0	0	0	2	0	2	0	0	0	36	0	8	1	24	0	0	12	0	0	0	0	1106	0	1	3	63	0	0	87	0	0	0	0	19	0	2	0	15	413	0	0	0	0	0	0	24	0	1	0	2	23	1	8	0	26	0	7	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Rhizopodaceae;?	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Rhizopodaceae;Rhizopus	3	0	0	0	0	2	0	65	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	1	3	168	0	0	0	74	20	0	0	0	0	8	0	129	0	0	1	2	91	0	8	8	37	0	0	99	0	0	10	0	0	0	0	0	0	0	175	259	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	224	0	9	1	10	0	14	0	6	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Saksenaeaceae;Apophysomyces	0	0	0	0	0	0	0	287	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	1	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Saksenaeaceae;Saksenaea	0	0	0	0	1	0	15	0	0	0	15	0	0	0	0	0	0	0	1	65	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;Zygomycota;Incertae sedis;Mucorales;Umbelopsidaceae;Umbelopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi;unidentified;?;?;?;?	6	0	0	0	0	96	1	1	0	0	0	0	8	4	0	0	1	4	82	0	0	1	0	0	59	0	0	0	2	4	324	1	3	0	0	0	11	0	0	0	0	5	789	2	2	0	0	0	1	0	0	0	106	0	2175	5	3	9	0	0	12	0	0	0	15	1	2	14	1	0	5	11	0	0	0	0	7	0	183	0	1	0	0	0	1	0	0	0	74	2	0	2	0	69	0	0	0	11	0	19	0
Fungi;unidentified;unidentified;?;?;?	35	0	0	0	0	1	187	1354	39	0	0	1	5	0	0	0	0	19	4	2	2	1	726	0	2	0	0	0	3	95	24	0	0	2	0	7	7	0	0	0	801	0	29	0	2	0	33	0	441	0	1	0	1	0	6	18	0	1	2	0	2	0	0	0	2	109	13	19	1	0	0	0	826	0	0	0	0	0	1	1	3	10	0	0	0	0	0	0	22	166	0	290	1	33	0	10	0	96	0	16	0
Fungi;unidentified;unidentified;unidentified;?;?	2	0	0	0	0	3	0	0	26	0	0	0	1	0	0	0	0	25	7	0	0	0	9	0	1	1	0	0	6	6	0	0	6	0	1	2	5	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	199	5	0	0	0	39	0	0	0	3274	0	0	2	0	0	0	4	11	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	16	0	5	0
Fungi;unidentified;unidentified;unidentified;unidentified;?	2	0	0	0	0	2	2	0	3	10	0	0	0	0	0	0	1	3	1	0	0	8	33	0	1	0	0	0	95	1	2	0	1	0	0	0	0	0	0	0	91	3	0	1	0	0	0	1	12	0	0	0	4	0	17	74	0	1	40	0	0	0	0	0	0	10	605	62	0	0	0	0	0	0	0	0	0	0	1	0	0	44	0	0	0	0	0	0	0	0	21	27	0	0	0	12	0	24	0	3	0
Fungi;unidentified;unidentified;unidentified;unidentified;unidentified	108	0	1	3	14	194	2703	215	105	645	156	150	56	6	0	0	1378	270	1483	218	603	662	2801	52	452	13	0	2	883	255	727	58	1140	71	73	254	106	14	0	0	1382	93	204	1343	741	40	312	1	588	2	10	149	497	0	379	771	853	660	401	63	112	0	0	2	273	592	6171	82	727	268	3	203	121	0	0	0	237	40	288	602	98	347	0	0	123	4	0	0	221	217	48	316	139	1323	3	196	0	475	0	95	0
Protista;?;?;?;?;?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protista;Cercozoa;?;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protista;Ciliophora;?;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
